age,two_year_recid,sex,priors_count,length_of_stay,decile_score,c_charge_degree_F,c_charge_degree_M,race
22,1,1,1,1,6,1,0,1
49,0,0,0,0,1,1,0,0
49,1,0,1,19,3,1,0,1
59,0,0,2,12,1,1,0,0
32,0,0,6,27,5,0,1,0
24,1,0,1,-1,2,0,1,1
32,0,0,0,-1,1,1,0,1
27,1,0,9,799,10,1,0,1
25,0,0,2,12,8,0,1,0
20,1,0,0,0,5,0,1,0
37,0,0,18,1,9,0,1,1
30,1,1,5,7,10,1,0,0
23,1,0,1,0,6,1,0,1
20,0,1,0,-1,8,1,0,1
50,0,0,8,11,2,1,0,0
50,0,0,7,0,2,1,0,1
40,0,0,3,1,1,1,0,0
24,0,1,2,2,7,1,0,0
23,1,1,3,0,5,1,0,1
54,1,0,3,2,1,0,1,0
25,0,0,4,1,10,0,1,0
46,0,0,1,1,1,0,1,0
22,0,1,0,-1,3,0,1,0
32,0,1,1,2,2,1,0,0
25,1,0,0,4,3,0,1,1
33,1,0,16,0,9,1,0,1
33,1,0,4,1,5,0,1,1
24,0,0,0,-1,2,1,0,1
33,1,0,12,2,9,0,1,1
37,0,0,0,0,2,0,1,0
40,0,1,0,0,1,0,1,0
43,1,0,9,0,6,1,0,1
35,1,0,5,1,6,1,0,1
25,1,0,11,6,9,1,0,1
61,1,0,1,0,1,1,0,1
52,0,1,1,0,1,1,0,1
39,1,0,1,-1,2,0,1,1
47,0,0,5,0,4,1,0,1
52,0,1,6,33,7,0,1,0
37,0,0,0,0,1,0,1,0
24,0,1,0,1,7,1,0,1
34,0,1,14,3,9,1,0,1
25,1,0,1,0,3,0,1,0
62,0,1,0,0,1,0,1,0
23,1,0,0,1,3,1,0,0
60,0,1,0,13,7,1,0,0
35,0,0,0,1,1,0,1,0
24,0,1,0,0,7,1,0,1
30,0,0,0,-1,1,0,1,0
35,1,0,4,1,5,1,0,0
28,0,1,0,0,4,0,1,0
56,0,0,0,1,1,1,0,1
23,1,0,2,1,2,1,0,1
23,0,0,1,0,2,0,1,0
21,1,0,0,1,9,1,0,1
35,0,1,2,14,5,1,0,1
33,0,0,3,0,3,0,1,0
41,0,0,9,0,9,0,1,1
24,0,0,0,4,5,1,0,1
28,1,0,9,1,8,1,0,1
49,0,0,3,1,2,1,0,1
21,1,0,0,1,3,1,0,1
27,1,1,3,3,9,1,0,1
50,0,0,4,2,5,0,1,1
23,0,1,0,0,3,0,1,1
34,0,0,0,0,4,0,1,0
25,1,0,4,32,5,1,0,1
33,1,1,2,43,5,1,0,0
29,1,1,11,34,10,1,0,0
32,1,1,6,3,4,1,0,1
52,0,0,3,0,1,1,0,1
26,0,1,3,0,3,0,1,0
31,1,0,2,0,3,1,0,0
30,0,1,0,1,5,1,0,0
20,1,0,0,4,10,0,1,1
31,0,0,0,77,4,1,0,0
37,0,1,1,1,3,0,1,0
49,1,0,8,3,6,1,0,0
33,0,1,1,0,2,1,0,1
42,0,0,0,-1,1,0,1,1
44,1,0,0,8,2,1,0,0
28,1,0,5,51,6,1,0,1
32,1,0,4,414,6,1,0,1
28,1,0,7,1,7,1,0,1
38,0,0,0,158,4,1,0,0
38,0,0,3,1,4,1,0,1
34,0,1,0,1,3,0,1,1
21,1,0,1,1,6,1,0,0
36,1,0,1,31,8,1,0,1
29,1,0,0,0,2,0,1,1
34,1,0,3,0,6,1,0,1
38,0,0,1,8,2,0,1,1
36,0,0,0,24,1,1,0,0
23,0,0,0,0,9,0,1,1
47,0,0,0,0,1,0,1,0
20,0,0,0,-1,3,1,0,1
25,1,1,2,0,8,1,0,1
35,0,0,0,0,1,0,1,1
28,0,1,1,1,4,0,1,0
24,1,0,2,0,5,0,1,1
22,0,0,0,0,9,1,0,1
60,0,0,12,1,3,1,0,1
33,0,0,6,0,5,0,1,1
34,1,0,2,23,4,0,1,1
24,0,0,4,0,8,0,1,0
27,1,0,0,2,2,0,1,1
29,1,0,4,355,10,1,0,1
21,1,0,1,36,7,1,0,0
42,1,1,0,0,1,1,0,0
32,0,0,1,-1,4,1,0,1
30,0,0,3,0,4,0,1,0
22,1,0,1,0,3,1,0,1
20,1,0,0,0,10,0,1,0
57,0,0,0,1,2,0,1,0
51,1,0,3,1,1,1,0,0
21,0,0,0,0,4,1,0,1
22,0,0,0,35,5,1,0,1
35,1,0,4,353,8,1,0,1
58,0,0,2,4,3,1,0,0
32,1,1,0,0,1,1,0,0
30,1,0,9,7,6,0,1,0
20,1,0,0,209,10,1,0,1
45,0,1,5,0,2,0,1,0
31,1,0,4,0,3,1,0,1
53,0,1,1,0,3,0,1,0
44,0,0,0,2,1,0,1,0
44,0,1,1,4,5,0,1,0
21,1,0,0,-1,2,1,0,0
28,0,0,0,0,1,0,1,1
28,0,0,2,1,1,0,1,0
24,1,0,0,182,3,1,0,1
28,0,0,0,-1,2,1,0,1
53,0,0,4,-1,1,1,0,0
20,0,0,1,1,3,1,0,1
21,0,0,0,0,6,0,1,1
37,1,0,1,0,1,0,1,0
30,0,0,0,0,1,0,1,0
26,1,0,2,1,8,1,0,0
26,1,1,5,6,9,1,0,1
39,0,1,1,0,2,1,0,1
44,0,0,2,2,5,1,0,1
45,0,0,0,2,2,0,1,0
30,0,0,1,0,1,1,0,1
23,1,0,6,0,5,1,0,0
42,0,0,0,0,1,1,0,1
54,0,0,4,3,2,0,1,0
47,1,0,7,1,1,1,0,1
26,1,0,0,1,7,1,0,0
29,1,0,7,1,10,0,1,0
51,1,0,7,14,1,1,0,0
44,0,0,0,0,1,0,1,1
49,0,0,12,21,5,0,1,0
22,1,0,0,0,8,1,0,1
32,1,0,4,1,4,0,1,1
27,0,0,0,1,3,0,1,1
30,0,0,0,0,2,0,1,0
51,0,1,5,32,5,1,0,0
27,1,0,4,1,2,1,0,1
32,1,0,0,17,7,1,0,1
43,0,0,2,5,3,1,0,1
37,0,0,2,0,2,1,0,0
26,1,0,0,1,4,1,0,1
26,0,0,0,0,2,0,1,1
58,0,1,4,1,1,1,0,1
22,0,1,1,0,3,0,1,0
21,1,0,2,140,10,1,0,1
31,1,0,0,35,7,1,0,0
43,0,0,2,1,1,1,0,0
23,0,0,0,0,7,0,1,1
25,0,0,0,1,2,1,0,0
22,0,0,6,1,9,1,0,1
30,0,0,6,133,4,1,0,1
25,1,0,15,2,9,1,0,1
20,1,0,0,1,7,1,0,1
33,1,0,1,3,2,1,0,1
59,0,0,1,0,4,1,0,1
53,1,0,8,5,6,1,0,1
34,0,0,2,1,2,0,1,0
36,0,0,6,0,4,1,0,0
23,0,0,0,1,3,1,0,1
32,0,0,2,109,8,0,1,1
32,1,0,11,1,9,0,1,1
24,0,1,0,23,6,0,1,0
30,1,0,7,602,10,1,0,1
28,0,0,1,1,7,0,1,1
43,1,0,4,2,5,1,0,0
35,0,0,3,11,2,0,1,1
19,1,0,2,14,8,1,0,1
22,1,0,1,4,6,0,1,1
29,0,0,0,0,1,1,0,1
23,0,1,0,2,4,0,1,1
33,0,1,0,0,2,0,1,0
35,0,0,1,-1,4,0,1,1
53,0,0,0,0,1,1,0,0
59,1,0,17,23,6,1,0,0
48,0,1,0,0,1,0,1,0
33,0,1,1,0,2,1,0,1
44,0,0,0,1,1,0,1,0
31,1,0,10,1,2,1,0,0
28,1,0,2,1,4,1,0,1
23,1,0,0,5,7,1,0,1
26,0,0,0,0,5,1,0,0
22,0,0,3,0,9,1,0,1
29,0,0,0,1,2,0,1,1
20,1,0,2,2,9,1,0,1
44,0,0,0,0,1,0,1,0
41,0,0,2,14,5,1,0,1
28,0,1,4,0,4,1,0,1
27,1,0,1,21,6,0,1,0
31,0,0,7,1,3,0,1,0
26,1,0,3,0,3,1,0,1
20,0,0,0,1,4,1,0,1
55,1,0,2,0,1,0,1,0
36,0,0,0,1,8,1,0,1
23,0,0,1,5,9,0,1,1
34,1,0,19,4,10,1,0,1
59,0,1,1,5,1,1,0,0
37,1,0,0,1,2,1,0,0
28,1,1,0,0,4,1,0,0
31,0,0,0,1,2,1,0,1
38,1,1,14,4,10,1,0,1
33,1,0,0,3,1,1,0,1
27,1,0,3,0,8,1,0,1
25,1,0,2,1,4,0,1,0
42,0,1,2,1,2,1,0,1
22,1,0,3,26,8,1,0,1
45,1,0,1,27,5,1,0,0
21,1,1,1,1,3,0,1,1
52,0,0,2,1,1,0,1,0
29,0,0,0,0,3,0,1,0
37,0,1,0,5,4,0,1,1
34,0,0,0,0,2,1,0,0
53,1,0,0,1,1,0,1,1
30,1,1,8,1,8,1,0,1
28,0,0,1,4,4,1,0,0
21,0,0,1,0,8,1,0,1
22,0,0,1,43,7,1,0,1
42,1,0,1,0,3,0,1,0
26,1,0,3,0,4,1,0,1
54,0,0,9,1,1,0,1,1
30,1,0,20,317,9,1,0,1
26,1,1,1,27,6,1,0,1
41,0,0,0,0,1,0,1,1
23,1,0,5,54,5,0,1,0
43,1,0,1,64,2,1,0,0
22,1,0,0,0,3,0,1,1
27,1,1,6,1,3,1,0,0
42,0,1,2,34,3,0,1,1
25,1,0,8,29,6,1,0,1
49,0,0,4,35,2,0,1,1
52,0,0,1,24,1,1,0,0
60,0,1,2,1,1,1,0,0
23,0,1,0,1,6,0,1,1
30,0,0,2,1,7,0,1,1
48,1,0,9,3,6,1,0,1
32,1,0,2,1,7,1,0,1
24,1,0,5,1,7,1,0,1
22,1,0,3,214,5,1,0,1
44,0,0,2,1,2,1,0,1
32,0,0,3,86,4,1,0,0
27,0,1,1,0,2,0,1,1
52,1,0,15,0,4,0,1,1
61,1,0,3,0,2,0,1,0
69,0,0,3,0,1,0,1,1
21,0,1,1,1,6,1,0,0
31,1,0,2,3,6,0,1,0
19,1,0,3,30,4,1,0,1
24,1,0,12,36,9,0,1,1
24,1,0,3,6,8,1,0,0
30,0,0,6,6,7,1,0,0
43,1,0,4,1,1,1,0,1
24,0,0,4,4,7,1,0,1
30,0,1,7,17,7,0,1,0
25,1,0,5,1,9,1,0,1
56,0,1,1,169,8,1,0,0
21,0,0,1,8,8,1,0,1
31,1,0,6,31,10,1,0,1
23,0,1,1,1,9,1,0,1
30,1,0,15,1,10,1,0,1
64,0,0,0,108,3,1,0,0
21,1,1,0,0,6,1,0,0
36,0,0,5,11,3,1,0,1
50,0,1,1,1,1,1,0,1
23,1,0,0,0,3,0,1,1
25,0,1,5,0,7,1,0,0
54,1,0,14,28,4,0,1,0
25,1,0,5,14,9,0,1,0
63,1,0,0,3,1,0,1,0
35,0,0,2,1,7,0,1,1
25,1,0,8,1,10,0,1,1
33,0,0,0,0,1,0,1,0
29,0,0,7,1,3,1,0,1
37,1,0,12,0,9,0,1,1
20,1,1,3,0,10,0,1,0
32,1,0,1,1,2,1,0,1
72,0,0,1,1,1,0,1,0
38,0,0,0,2,1,1,0,0
40,0,0,0,0,2,1,0,0
23,0,0,0,0,3,1,0,0
21,1,0,5,1,8,1,0,0
27,1,0,4,0,7,1,0,0
55,1,0,13,0,6,1,0,0
41,0,1,0,0,1,0,1,0
56,0,0,1,2,1,0,1,0
55,0,0,11,57,7,0,1,0
28,0,0,3,0,2,1,0,1
53,0,0,0,0,1,0,1,0
27,1,0,6,10,5,1,0,1
22,1,0,0,0,5,1,0,0
22,1,1,0,0,4,1,0,1
33,1,0,7,1,6,0,1,1
34,0,0,15,6,7,1,0,1
32,0,0,12,1,8,1,0,1
47,1,0,14,0,9,1,0,1
25,1,0,14,83,10,1,0,1
56,0,0,0,-1,1,1,0,0
28,1,0,4,21,6,1,0,1
20,1,0,2,0,9,1,0,1
29,0,1,11,0,8,1,0,1
72,0,0,3,4,1,1,0,0
24,1,1,2,14,7,0,1,1
45,0,0,3,36,9,1,0,1
30,1,0,7,2,10,0,1,1
45,0,0,0,0,1,0,1,1
47,0,0,0,0,1,0,1,0
24,1,0,0,9,3,1,0,1
20,1,0,0,2,3,0,1,1
51,1,0,6,0,1,1,0,0
49,1,1,2,11,2,0,1,0
41,0,0,5,1,1,1,0,0
49,0,0,1,12,3,1,0,0
28,0,1,0,1,3,0,1,1
33,0,0,2,1,2,0,1,0
46,0,0,0,0,7,1,0,1
21,0,0,0,1,4,0,1,1
26,1,0,14,-1,9,1,0,1
58,1,0,24,3,6,1,0,1
20,1,1,2,23,10,1,0,1
28,1,0,0,0,4,0,1,1
21,1,0,0,4,8,1,0,0
34,0,0,3,0,1,0,1,1
32,1,0,15,7,8,1,0,1
38,1,0,10,10,4,1,0,1
22,0,0,0,1,3,1,0,1
42,1,0,2,0,5,1,0,0
57,0,1,0,1,4,0,1,0
56,0,1,1,1,1,1,0,0
30,0,0,11,0,8,1,0,1
29,0,0,2,0,1,0,1,1
46,1,0,15,6,7,1,0,1
24,0,1,0,0,3,1,0,1
70,0,1,1,1,1,1,0,1
45,0,1,1,0,1,0,1,0
39,0,1,6,0,5,1,0,1
25,0,0,6,1,4,1,0,0
46,0,0,0,0,1,1,0,0
28,1,0,0,2,2,0,1,0
27,0,0,1,1,2,1,0,1
43,1,0,11,76,7,1,0,0
30,1,0,9,50,10,1,0,1
29,0,0,1,0,3,1,0,0
54,1,0,8,-1,1,1,0,1
20,0,1,0,0,4,1,0,0
29,0,0,0,0,1,1,0,1
24,1,0,8,0,9,1,0,1
45,0,0,2,28,6,0,1,1
31,1,0,5,11,5,1,0,1
23,1,0,0,7,3,1,0,0
21,1,0,0,8,8,1,0,1
61,0,0,0,0,1,0,1,0
51,1,1,5,20,7,0,1,0
43,0,0,9,0,6,1,0,0
36,0,0,0,0,5,1,0,1
58,1,0,3,15,4,1,0,0
57,0,0,12,50,9,1,0,1
37,0,0,2,0,7,1,0,1
44,0,0,6,1,6,1,0,1
45,1,0,8,0,7,1,0,1
26,1,0,13,-1,8,1,0,1
34,1,0,9,1,6,1,0,0
25,0,0,0,1,3,1,0,1
31,1,0,8,0,7,0,1,1
43,0,0,1,1,1,1,0,1
30,0,0,0,0,1,0,1,1
50,0,0,0,0,1,0,1,0
31,0,1,2,1,2,1,0,1
33,0,1,7,0,6,0,1,0
32,1,0,1,19,5,1,0,1
46,1,1,0,2,1,0,1,0
37,1,0,8,1,5,1,0,1
32,1,1,6,8,6,1,0,0
23,1,1,2,1,7,1,0,1
21,0,0,0,-1,5,1,0,0
49,0,0,2,1,2,0,1,0
55,1,0,3,36,7,1,0,0
22,0,0,0,1,2,1,0,1
31,1,1,7,1,5,1,0,1
22,1,0,0,1,2,0,1,0
28,0,0,5,1,6,0,1,1
21,1,0,1,11,5,1,0,1
30,1,0,21,1,7,1,0,1
22,1,0,13,0,10,1,0,1
35,1,0,23,1,9,1,0,1
28,0,0,11,26,10,1,0,1
24,0,0,1,1,3,1,0,1
32,1,0,24,2,7,1,0,1
24,0,1,1,0,5,1,0,1
57,0,0,19,1,3,1,0,1
28,0,0,0,-1,2,1,0,0
51,0,0,0,91,1,0,1,0
26,1,0,0,0,2,0,1,1
20,1,0,0,1,6,1,0,1
25,0,0,6,32,7,0,1,1
19,1,0,0,2,6,0,1,0
49,1,0,1,20,1,1,0,0
57,0,0,27,9,10,0,1,1
27,0,1,0,0,2,0,1,1
66,0,0,1,19,1,0,1,0
21,0,0,0,0,3,1,0,0
45,0,0,1,-1,2,1,0,0
37,0,0,24,19,8,1,0,1
44,1,0,13,16,9,1,0,0
64,0,0,0,4,4,1,0,1
30,1,0,1,0,6,1,0,1
61,0,0,1,2,1,0,1,1
49,0,1,8,8,2,1,0,0
23,0,0,0,0,7,1,0,1
21,1,0,0,0,9,1,0,0
30,1,1,2,43,10,1,0,0
27,0,0,2,1,9,0,1,1
38,0,0,1,14,6,0,1,0
48,1,0,14,142,9,1,0,1
26,0,0,0,0,2,0,1,0
24,1,0,4,26,8,1,0,1
28,1,1,2,0,5,1,0,1
44,1,1,4,5,6,1,0,0
23,0,0,2,13,7,1,0,0
34,1,1,1,12,6,1,0,0
20,1,0,1,1,5,1,0,0
36,0,1,0,0,1,0,1,1
58,0,0,1,79,1,1,0,0
35,0,1,4,13,3,1,0,0
23,0,0,3,1,7,1,0,1
40,0,0,1,21,1,1,0,0
23,1,0,3,13,6,0,1,1
27,1,0,0,4,3,0,1,0
26,0,1,3,27,5,1,0,1
49,0,0,1,24,1,1,0,1
47,0,0,6,5,2,1,0,1
34,1,0,7,0,6,1,0,1
27,0,0,10,7,9,1,0,1
52,0,1,0,0,1,0,1,0
26,1,0,0,0,3,0,1,1
25,0,0,9,2,7,1,0,1
51,0,0,1,162,2,1,0,1
29,0,1,1,-1,2,0,1,1
46,0,0,0,0,1,1,0,0
28,0,0,6,2,4,1,0,0
57,0,0,0,1,1,1,0,1
34,1,0,27,118,9,1,0,1
27,0,0,3,12,3,1,0,1
25,1,0,7,3,9,0,1,1
31,1,0,1,32,7,1,0,0
37,0,0,8,1,2,1,0,1
51,1,0,0,1,2,1,0,1
28,0,0,8,40,6,1,0,1
56,0,0,4,7,1,1,0,0
45,1,0,15,330,9,1,0,1
26,1,0,7,18,6,1,0,0
33,1,0,7,1,8,1,0,0
23,0,0,0,1,4,0,1,0
31,0,0,0,0,2,0,1,1
32,0,0,0,0,1,1,0,0
30,1,0,1,0,3,0,1,0
66,0,0,1,0,1,1,0,0
40,0,1,0,-1,1,1,0,1
59,0,0,4,0,2,0,1,1
27,0,0,3,1,7,0,1,1
22,0,0,0,0,3,1,0,1
58,0,0,1,0,1,1,0,0
29,0,0,2,2,3,1,0,0
27,1,0,0,60,8,1,0,1
24,0,0,0,1,5,1,0,0
35,0,1,3,0,4,1,0,0
29,1,0,7,2,8,1,0,1
30,1,0,5,2,9,1,0,1
23,0,0,1,2,2,1,0,1
32,1,0,2,0,4,1,0,0
22,0,0,2,3,5,1,0,0
21,0,0,0,1,3,0,1,1
43,0,1,0,-1,2,0,1,0
29,0,0,0,2,8,1,0,1
43,0,0,1,1,3,1,0,1
25,0,0,1,2,2,1,0,1
47,0,0,0,1,1,0,1,0
21,0,1,0,0,5,1,0,1
54,0,0,0,-1,1,0,1,0
34,1,0,3,33,1,1,0,1
28,0,1,2,1,2,0,1,1
53,1,1,4,0,1,1,0,0
54,0,0,0,-1,1,0,1,1
34,0,0,2,0,4,1,0,1
60,1,1,0,1,1,1,0,0
22,0,0,0,1,4,1,0,1
51,0,0,3,-1,7,1,0,1
29,1,0,0,12,2,1,0,1
28,0,0,5,27,6,0,1,1
33,1,0,0,0,1,1,0,0
43,0,0,4,2,2,0,1,0
32,1,0,5,65,5,1,0,0
35,1,1,0,1,3,1,0,1
23,1,0,1,1,4,1,0,1
25,1,0,4,43,6,1,0,1
69,1,0,6,1,2,1,0,0
47,1,0,23,403,7,1,0,1
29,1,0,13,1,10,1,0,1
26,1,0,9,2,8,1,0,1
28,0,0,0,1,7,1,0,0
48,1,0,1,0,1,0,1,0
44,0,0,0,0,1,0,1,0
42,0,0,7,0,5,0,1,1
39,0,0,5,4,7,1,0,1
55,0,0,0,10,5,0,1,0
27,1,0,5,4,9,1,0,1
31,0,1,0,4,9,0,1,0
25,0,0,0,0,2,1,0,1
32,0,0,6,0,7,0,1,0
36,0,0,2,0,5,1,0,1
21,1,0,3,4,7,1,0,1
39,0,0,2,-1,4,0,1,0
26,0,1,0,-1,2,0,1,1
28,1,0,8,20,8,1,0,1
67,1,0,2,0,1,0,1,0
37,0,0,3,0,1,0,1,0
23,1,0,2,2,8,0,1,1
49,1,1,14,122,7,0,1,1
32,1,0,9,4,7,0,1,0
41,0,0,9,32,6,0,1,0
25,0,0,1,0,3,0,1,1
58,0,0,0,0,1,0,1,0
44,1,0,19,17,9,0,1,1
28,0,0,1,15,4,1,0,1
39,1,1,0,2,5,1,0,1
54,0,0,0,6,1,1,0,0
43,0,0,0,0,4,0,1,0
31,0,0,5,0,10,0,1,1
30,0,0,11,117,10,1,0,1
27,1,0,4,1,4,0,1,0
28,1,0,0,1,2,0,1,1
24,0,0,0,0,7,0,1,1
43,0,0,0,0,1,0,1,0
44,1,0,10,5,4,0,1,1
23,0,0,0,1,3,1,0,1
36,1,0,5,0,3,0,1,0
27,0,0,1,1,9,1,0,0
24,1,0,0,1,10,1,0,1
66,0,0,0,0,1,0,1,0
36,0,1,3,25,4,1,0,0
23,1,0,1,0,3,1,0,0
22,1,1,0,0,7,0,1,1
56,0,0,4,2,1,1,0,1
58,0,1,3,18,1,0,1,1
24,0,0,3,0,5,0,1,0
22,1,0,0,71,3,1,0,1
39,0,0,0,0,1,0,1,0
46,1,0,10,73,7,1,0,0
38,1,0,1,0,1,1,0,0
23,1,0,0,3,8,0,1,0
25,0,0,0,1,8,1,0,1
31,1,0,19,0,9,1,0,1
25,1,1,1,0,3,0,1,1
26,0,0,6,1,6,1,0,1
25,0,0,2,274,9,1,0,1
37,1,0,11,1,8,1,0,0
36,0,0,0,0,1,1,0,1
26,1,0,1,0,6,1,0,1
35,1,0,7,0,4,1,0,1
22,1,0,2,1,4,1,0,1
25,0,0,0,0,2,1,0,0
24,1,0,2,12,7,0,1,1
21,1,0,0,0,9,1,0,1
32,1,0,15,70,9,1,0,0
33,1,0,2,-1,2,0,1,1
33,1,0,10,2,9,1,0,1
29,0,0,0,0,3,0,1,0
50,0,0,8,172,3,1,0,0
33,1,0,14,2,8,1,0,1
37,1,0,13,0,8,1,0,1
27,1,0,9,24,7,1,0,1
27,0,0,0,1,1,0,1,1
58,0,0,1,60,1,1,0,1
27,0,0,4,33,8,1,0,1
28,1,0,1,30,7,1,0,0
31,0,1,0,0,3,0,1,0
24,0,0,3,6,7,0,1,1
26,1,0,6,18,9,1,0,1
43,0,0,0,1,1,0,1,0
22,1,0,3,1,6,1,0,1
23,0,0,0,3,5,1,0,1
42,0,0,0,0,4,0,1,0
30,0,0,18,17,10,0,1,1
29,0,0,1,290,9,1,0,1
38,1,0,2,47,4,1,0,0
26,0,0,3,2,4,0,1,0
51,0,0,5,4,7,0,1,1
23,1,0,0,0,3,1,0,1
34,1,0,7,0,5,1,0,1
35,0,0,1,1,2,0,1,1
22,0,0,0,3,3,1,0,0
29,1,0,10,108,10,0,1,1
40,0,0,0,1,2,1,0,1
36,0,0,2,0,2,1,0,1
26,1,0,8,0,8,1,0,1
25,1,0,1,0,3,1,0,1
69,0,0,0,0,1,0,1,0
27,0,0,1,8,4,1,0,1
20,1,0,0,1,5,1,0,0
27,0,0,1,2,1,1,0,1
24,0,1,6,310,6,0,1,1
42,0,0,0,2,1,1,0,0
25,0,0,1,1,3,1,0,0
25,0,0,0,7,4,1,0,1
22,0,0,0,0,3,1,0,1
21,0,0,0,0,4,1,0,0
30,0,0,1,1,2,0,1,1
46,0,0,9,4,5,0,1,0
26,0,0,2,0,7,0,1,1
33,1,0,0,0,5,1,0,1
40,0,0,1,1,1,0,1,1
34,0,0,0,28,4,1,0,0
22,1,0,1,36,2,1,0,0
31,1,0,4,1,3,0,1,1
59,1,0,3,1,1,0,1,0
50,0,0,0,2,1,1,0,1
57,1,0,8,99,5,1,0,1
31,0,0,5,0,5,0,1,1
44,0,0,9,25,8,1,0,1
48,1,0,5,242,9,1,0,1
25,0,1,0,1,4,1,0,0
51,0,0,5,0,3,0,1,1
50,1,0,0,0,1,1,0,0
57,0,0,2,2,1,1,0,0
55,0,0,0,0,1,0,1,0
59,1,0,4,1,3,1,0,1
42,0,1,0,0,1,1,0,1
32,1,0,21,64,9,1,0,1
42,0,0,1,1,4,1,0,1
29,1,0,8,13,8,1,0,1
21,0,0,1,7,6,1,0,1
58,0,0,0,0,1,0,1,0
22,1,0,1,0,7,1,0,1
46,1,0,1,0,1,0,1,0
50,1,0,0,14,2,0,1,0
46,0,0,2,0,9,1,0,1
44,1,1,11,15,8,1,0,1
35,0,0,4,29,5,0,1,1
30,1,0,14,2,9,1,0,1
42,0,0,2,0,5,1,0,1
46,1,0,5,202,1,1,0,1
42,1,0,0,34,10,1,0,1
29,1,0,7,1,10,1,0,0
32,0,0,8,4,4,1,0,1
33,0,1,1,1,1,0,1,1
25,0,0,4,183,4,1,0,0
33,0,1,0,1,1,0,1,1
35,1,0,1,49,1,1,0,0
56,0,0,1,2,1,1,0,1
38,1,0,0,2,3,0,1,0
40,0,1,4,1,1,0,1,1
28,0,0,4,1,4,1,0,1
51,0,0,0,1,1,0,1,1
35,0,0,2,1,2,0,1,1
61,0,0,5,12,2,1,0,1
25,0,0,0,1,3,1,0,1
25,1,0,4,0,7,1,0,1
26,0,0,0,0,5,0,1,1
42,0,0,1,2,1,0,1,0
25,0,1,1,0,4,1,0,1
26,1,0,13,-1,10,0,1,1
31,0,0,9,0,7,1,0,1
35,0,0,1,1,2,1,0,0
34,0,0,0,116,1,1,0,0
33,0,1,1,0,2,0,1,0
30,0,0,3,0,2,1,0,1
50,0,1,7,1,4,0,1,1
21,0,0,0,50,5,1,0,1
31,1,0,2,3,7,1,0,1
23,0,1,0,0,4,0,1,1
25,0,0,1,1,6,1,0,1
24,0,1,1,1,5,1,0,0
31,1,0,13,0,10,0,1,1
60,0,0,0,2,1,1,0,1
30,0,0,2,0,2,1,0,1
46,0,0,0,-1,1,0,1,0
21,1,0,0,0,4,0,1,0
35,0,0,0,1,8,1,0,1
23,1,0,1,15,10,1,0,1
23,1,0,3,1,6,1,0,1
28,0,0,2,2,4,0,1,1
46,0,0,2,3,4,0,1,0
56,0,0,1,0,2,1,0,1
24,1,0,1,0,4,0,1,1
33,0,1,0,0,1,0,1,0
48,0,0,2,4,8,0,1,0
33,1,0,11,44,6,1,0,1
30,1,0,7,0,5,1,0,1
43,0,1,7,8,8,1,0,0
32,0,0,0,1,3,1,0,0
49,0,0,4,5,1,1,0,0
24,0,0,0,18,4,1,0,0
26,0,0,1,-1,9,1,0,1
42,0,0,0,1,2,1,0,0
22,1,0,1,6,6,1,0,1
29,1,0,7,27,7,0,1,0
39,0,0,0,18,3,0,1,0
27,1,0,13,14,6,1,0,1
38,1,0,2,7,5,1,0,0
20,1,0,0,3,2,1,0,0
25,1,0,4,86,10,1,0,1
53,0,0,0,0,1,0,1,0
27,1,1,0,6,8,0,1,1
50,1,0,1,5,1,0,1,0
41,0,0,4,0,5,1,0,1
22,1,0,5,4,8,1,0,0
22,1,0,0,2,7,1,0,0
25,0,0,2,26,5,1,0,1
42,1,0,1,1,4,1,0,1
24,0,0,0,-1,3,1,0,1
37,0,0,4,92,4,1,0,1
37,0,0,0,0,1,0,1,0
35,1,0,1,1,1,1,0,1
24,0,1,0,36,8,1,0,0
49,0,0,2,1,1,0,1,0
38,0,0,9,2,6,1,0,1
30,0,1,0,0,2,0,1,1
22,0,0,3,128,6,1,0,1
25,1,0,0,1,7,1,0,1
52,0,0,0,0,1,0,1,0
26,0,0,0,0,2,1,0,0
45,1,0,9,54,9,1,0,0
20,1,0,0,0,9,1,0,1
29,0,0,4,80,8,1,0,1
43,1,0,1,69,6,1,0,0
26,0,0,2,0,5,1,0,0
46,0,1,4,0,4,1,0,1
46,0,1,0,1,1,1,0,1
29,1,0,12,5,10,1,0,1
41,0,0,0,-1,1,0,1,0
25,0,1,5,0,7,1,0,1
23,0,0,2,18,7,1,0,1
30,0,0,0,0,3,0,1,0
34,0,0,1,2,6,1,0,0
70,1,0,11,12,1,1,0,0
52,0,0,2,1,1,1,0,0
51,0,0,4,7,2,0,1,1
55,1,0,21,85,6,1,0,1
49,0,1,1,1,1,1,0,0
47,0,1,0,0,1,1,0,0
27,0,0,0,1,2,0,1,1
25,1,0,5,0,7,0,1,0
21,1,0,1,59,10,1,0,1
37,1,0,26,1,10,1,0,1
21,1,0,1,49,9,1,0,1
21,0,0,0,1,6,1,0,1
25,1,0,4,0,10,1,0,1
27,1,1,3,1,5,1,0,1
30,1,0,3,12,4,1,0,0
70,0,0,0,0,1,0,1,0
37,1,0,11,0,9,1,0,0
46,1,0,5,2,5,1,0,1
43,1,0,18,9,4,1,0,1
38,0,0,15,55,6,1,0,1
29,0,0,0,0,4,1,0,1
